,gcm,period_scenario,temp_ch_ipcc,region
138,gfdl-esm4,2061-2080_ssp370,6.337295677290406,RGI07_glacier
139,gfdl-esm4,2081-2100_ssp370,7.657391425724636,RGI07_glacier
140,gfdl-esm4,2021-2040_ssp585,2.4915871893540995,RGI07_glacier
141,gfdl-esm4,2041-2060_ssp585,3.814452552071332,RGI07_glacier
142,gfdl-esm4,2061-2080_ssp585,5.848233734085859,RGI07_glacier
143,gfdl-esm4,2081-2100_ssp585,7.72054651813968,RGI07_glacier
144,gfdl-esm4,1851-1870_hist,0.6124519771918944,RGI08_glacier
145,gfdl-esm4,1901-1920_hist,0.6342001142756306,RGI08_glacier
146,gfdl-esm4,1951-1970_hist,0.8016665950956383,RGI08_glacier
147,gfdl-esm4,1995-2014_hist,0.7695762235658282,RGI08_glacier
148,gfdl-esm4,2021-2040_ssp126,1.7065126354482532,RGI08_glacier
149,gfdl-esm4,2041-2060_ssp126,1.6437087245407342,RGI08_glacier
150,gfdl-esm4,2061-2080_ssp126,2.01982704713367,RGI08_glacier
151,gfdl-esm4,2081-2100_ssp126,1.4355634693399355,RGI08_glacier
152,gfdl-esm4,2021-2040_ssp370,1.3108685204023933,RGI08_glacier
153,gfdl-esm4,2041-2060_ssp370,2.536839006744548,RGI08_glacier
154,gfdl-esm4,2061-2080_ssp370,3.6948082563910125,RGI08_glacier
155,gfdl-esm4,2081-2100_ssp370,4.020182683739044,RGI08_glacier
156,gfdl-esm4,2021-2040_ssp585,1.4842101083909984,RGI08_glacier
157,gfdl-esm4,2041-2060_ssp585,2.4885839765509234,RGI08_glacier
158,gfdl-esm4,2061-2080_ssp585,3.275558439028588,RGI08_glacier
159,gfdl-esm4,2081-2100_ssp585,4.347532846383099,RGI08_glacier
160,gfdl-esm4,1851-1870_hist,0.6485905703361549,RGI09_glacier
161,gfdl-esm4,1901-1920_hist,1.4170293776911231,RGI09_glacier
162,gfdl-esm4,1951-1970_hist,1.2350619539513774,RGI09_glacier
163,gfdl-esm4,1995-2014_hist,0.8431624550388604,RGI09_glacier
164,gfdl-esm4,2021-2040_ssp126,3.6999842316356544,RGI09_glacier
165,gfdl-esm4,2041-2060_ssp126,3.0016108893415536,RGI09_glacier
166,gfdl-esm4,2061-2080_ssp126,4.101851646090821,RGI09_glacier
167,gfdl-esm4,2081-2100_ssp126,3.854785496586275,RGI09_glacier
168,gfdl-esm4,2021-2040_ssp370,2.631764738521336,RGI09_glacier
169,gfdl-esm4,2041-2060_ssp370,4.292912649088252,RGI09_glacier
170,gfdl-esm4,2061-2080_ssp370,6.879516032167664,RGI09_glacier
171,gfdl-esm4,2081-2100_ssp370,8.34903866469498,RGI09_glacier
172,gfdl-esm4,2021-2040_ssp585,3.1634612911374935,RGI09_glacier
173,gfdl-esm4,2041-2060_ssp585,4.645482544138962,RGI09_glacier
174,gfdl-esm4,2061-2080_ssp585,6.877710635100235,RGI09_glacier
175,gfdl-esm4,2081-2100_ssp585,9.200927906385479,RGI09_glacier
176,gfdl-esm4,1851-1870_hist,0.7418024565547238,RGI10_glacier
177,gfdl-esm4,1901-1920_hist,0.41964393450409176,RGI10_glacier
178,gfdl-esm4,1951-1970_hist,0.567957581371835,RGI10_glacier
